,Full Title,ISSN,Product ID,Change History
469,Clinics and Research in Hepatology and Gastroenterology,2210-7401,15350,Formerly known as Gastroentérologie Clinique et Biologique
470,Clinics in Sports Medicine,0278-5919,13113,
471,Coastal Engineering,0378-3839,05325,
472,Cognition,0010-0277,05257,
473,Cognitive and Behavioral Practice,1077-7229,04242,
474,Cognitive Development,0885-2014,07450,
475,Cognitive Psychology,0010-0285,12022,
476,Cognitive Systems Research,1389-0417,09913,Incorporating Biologically Inspired Cognitive Architectures
477,Cold Regions Science and Technology,0165-232X,05326,
478,Collegian,1322-7696,04295,
479,Colloid and Interface Science Communications,2215-0382,17069,
480,Colloids and Surfaces A: Physicochemical and Engineering Aspects,0927-7757,05149,Formerly part of Colloids and Surfaces
481,Colloids and Surfaces B: Biointerfaces,0927-7765,05150,Formerly part of Colloids and Surfaces
482,Combustion and Flame,0010-2180,07630,
483,Communications in Nonlinear Science and Numerical Simulation,1007-5704,05471,
484,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,1095-6433,07515,Formerly known as Comparative Biochemistry and Physiology Part A: Physiology
485,Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology,1096-4959,07516,Formerly known as Comparative Biochemistry and Physiology Part B: Comparative Biochemistry
486,Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology,1532-0456,07517,"Formerly known as Comparative Biochemistry and Physiology Part C: Pharmacology, Toxicology and Endocrinology"
487,Comparative Biochemistry and Physiology Part D: Genomics and Proteomics,1744-117X,07801,
488,"Comparative Immunology, Microbiology and Infectious Diseases",0147-9571,00496,
489,Complementary Therapies in Clinical Practice,1744-3881,12742,Formerly known as Complementary Therapies in Nursing and Midwifery
490,Complementary Therapies in Medicine,0965-2299,12741,
491,Composite Structures,0263-8223,02017,
492,Composites Communications,2452-2139,18282,
493,Composites Part A: Applied Science and Manufacturing,1359-835X,03011,Incorporating Composites and Composites Manufacturing
494,Composites Part B: Engineering,1359-8368,00984,Formerly known as Composites Engineering
495,Composites Science and Technology,0266-3538,02019,Formerly known as Fibre Science and Technology
496,Comprehensive Psychiatry,0010-440X,13295,
497,Computational Biology and Chemistry,1476-9271,00379,Formerly known as Computers & Chemistry
498,Computational Condensed Matter,2352-2143,17743,
499,Computational Geometry,0925-7721,05258,
500,Computational Materials Science,0927-0256,05193,
501,Computational Statistics & Data Analysis,0167-9473,05364,
502,Computational and Structural Biotechnology Journal,2001-0370,18077,
503,Computational and Theoretical Chemistry,2210-271X,05164,Formerly known as Journal of Molecular Structure: THEOCHEM
504,Computational Toxicology,2468-1113,18335,
505,Computer-Aided Design,0010-4485,03014,
506,Computer Aided Geometric Design,0167-8396,05259,
507,Computer Communications,0140-3664,05260,
508,Computer Fraud & Security,1361-3723,02065,Formerly known as Computer Fraud & Security Bulletin
509,Computer Law & Security Review,0267-3649,02066,
510,Computer Methods in Applied Mechanics and Engineering,0045-7825,06004,
511,Computer Methods and Programs in Biomedicine,0169-2607,08010,Formerly known as Computer Programs in Biomedicine
512,Computer Networks,1389-1286,05262,Formerly known as Computer Networks and ISDN Systems
513,Computer Physics Communications,0010-4655,05194,
514,Computer Science Review,1574-0137,14035,
515,Computer Speech & Language,0885-2308,12659,
516,Computer Standards & Interfaces,0920-5489,05264,Incorporating Computers and Standards and Interfaces in Computing
517,Computer Vision and Image Understanding,1077-3142,12024,Formerly known as CVGIP: Image Understanding
518,Computerized Medical Imaging and Graphics,0895-6111,00292,Formerly known as Computerized Radiology
519,Computers in Biology and Medicine,0010-4825,00351,
520,Computers & Chemical Engineering,0098-1354,00349,
521,Computers and Composition,8755-4615,07452,
522,Computers & Education,0360-1315,00347,
523,Computers & Electrical Engineering,0045-7906,00367,
524,Computers and Electronics in Agriculture,0168-1699,05099,
525,"Computers, Environment and Urban Systems",0198-9715,00304,Formerly known as Urban Systems
526,Computers & Fluids,0045-7930,00365,
527,Computers & Geosciences,0098-3004,00398,
528,Computers and Geotechnics,0266-352X,02016,
529,Computers & Graphics,0097-8493,00371,
530,Computers & Graphics: X,2590-1486,18456,
531,Computers in Human Behavior,0747-5632,00759,
532,Computers & Industrial Engineering,0360-8352,00399,
533,Computers in Industry,0166-3615,05365,
534,Computers & Mathematics with Applications,0898-1221,00301,
535,Computers & Operations Research,0305-0548,00300,Incorporating Location Science and Surveys in Operations Research and Management Science
536,Computers & Security,0167-4048,02069,
537,Computers & Structures,0045-7949,00359,
538,Consciousness and Cognition,1053-8100,12018,
539,Construction and Building Materials,0950-0618,03017,
540,Contact Lens and Anterior Eye,1367-0484,05462,Formerly known as Journal of The British Contact Lens Association; Incorporating International Contact Lens Clinic
541,Contemporary Clinical Trials,1551-7144,07636,Formerly known as Controlled Clinical Trials
542,Contemporary Clinical Trials Communications,2451-8654,18844,
543,Contemporary Educational Psychology,0361-476X,12019,
544,Continental Shelf Research,0278-4343,00662,
545,Contraception,0010-7824,07629,
546,Contraception: X,2590-1516,18945,
547,Control Engineering Practice,0967-0661,00123,
548,Coordination Chemistry Reviews,0010-8545,06005,
549,Corrosion Science,0010-938X,00260,
550,Cortex,0010-9452,15801,
551,Cretaceous Research,0195-6671,12634,
552,Critical Care Clinics,0749-0704,13050,
553,Critical Care Nursing Clinics of North America,0899-5885,13159,
554,Critical Perspectives on Accounting,1045-2354,12681,
555,Critical Reviews in Oncology/Hematology,1040-8428,08011,
556,The Crop Journal,2214-5141,18043,
557,Crop Protection,0261-2194,03018,
558,Cryobiology,0011-2240,12023,
559,Cryogenics,0011-2275,03019,
560,Current Applied Physics,1567-1739,05572,
561,Current Biology,0960-9822,02216,
562,Current Medicine Research and Practice,2352-0817,17731,
563,Current Opinion in Behavioral Sciences,2352-1546,18058,
564,Current Opinion in Biomedical Engineering,2468-4511,18894,
565,Current Opinion in Biotechnology,0958-1669,02219,
566,Current Opinion in Cell Biology,0955-0674,02220,
567,Current Opinion in Chemical Biology,1367-5931,02221,
568,Current Opinion in Chemical Engineering,2211-3398,12954,
569,Current Opinion in Colloid & Interface Science,1359-0294,02228,
570,Current Opinion in Electrochemistry,2451-9103,18358,
571,Current Opinion in Endocrine and Metabolic Research,2451-9650,18341,
572,Current Opinion in Environmental Science & Health,2468-5844,18370,
573,Current Opinion in Environmental Sustainability,1877-3435,08672,
574,Current Opinion in Food Science,2214-7993,17049,
575,Current Opinion in Genetics & Development,0959-437X,02222,
576,Current Opinion in Green and Sustainable Chemistry,2452-2236,18302,
577,Current Opinion in Immunology,0952-7915,02223,
578,Current Opinion in Insect Science,2214-5745,13467,
579,Current Opinion in Microbiology,1369-5274,02224,
580,Current Opinion in Neurobiology,0959-4388,02225,
581,Current Opinion in Pharmacology,1471-4892,02277,
582,Current Opinion in Physiology,2468-8673,18380,
583,Current Opinion in Plant Biology,1369-5266,02226,
584,Current Opinion in Psychology,2352-250X,18066,
585,Current Opinion in Solid State and Materials Science,1359-0286,02229,
586,Current Opinion in Structural Biology,0959-440X,02227,
587,Current Opinion in Systems Biology,2452-3100,18300,
588,Current Opinion in Toxicology,2468-2020,18337,
589,Current Opinion in Virology,1879-6257,08728,
590,Current Plant Biology,2214-6628,18047,
591,Current Problems in Cancer,0147-0272,13305,
592,Current Problems in Cardiology,0146-2806,13235,
593,Current Problems in Diagnostic Radiology,0363-0188,13077,
594,Current Problems in Pediatric and Adolescent Health Care,1538-5442,13250,Formerly known as Current Problems in Pediatrics
595,Current Problems in Surgery,0011-3840,13086,
596,Current Research in Biotechnology,2590-2628,30103,
597,Current Research in Environmental Sustainability,2666-0490,30172,
598,Current Research in Food Science,2665-9271,30134,
599,Current Research in Physiology,2665-9441,30143,
600,Current Research in Structural Biology,2665-928X,30138,
601,Current Research in Translational Medicine ,2452-3186,09094,Formerly known as Pathologie Biologie
602,Current Therapeutic Research,0011-393X,07568,
603,Currents in Pharmacy Teaching and Learning,1877-1297,13445,
604,Cytokine,1043-4666,12674,
605,Cytokine & Growth Factor Reviews,1359-6101,00868,Formerly known as Progress in Growth Factor Research
606,Cytokine: X,2590-1532,18943,
607,Cytotherapy,1465-3249,14134,
608,Data in Brief,2352-3409,18754,
609,Data & Knowledge Engineering,0169-023X,05265,
610,Decision Support Systems,0167-9236,05366,
611,Deep Sea Research Part I: Oceanographic Research Papers,0967-0637,00489,Formerly part of Deep Sea Research Part A. Oceanographic Research Papers
612,Deep Sea Research Part II: Topical Studies in Oceanography,0967-0645,00116,Formerly part of Deep Sea Research Part A. Oceanographic Research Papers
613,Defence Technology,2214-9147,17039,
614,Dendrochronologia,1125-7865,10004,
615,Dental Abstracts,0011-8486,13022,
616,Dental Clinics of North America,0011-8532,13004,
617,Dental Materials,0109-5641,02214,
618,Dermatologic Clinics,0733-8635,13296,
619,Desalination,0011-9164,05152,
620,Design Studies,0142-694X,03021,
621,Development Engineering,2352-7285,18137,
622,Developmental Biology,0012-1606,12025,
623,Developmental Cell,1534-5807,07594,
624,Developmental Cognitive Neuroscience,1878-9293,05648,
625,Developmental & Comparative Immunology,0145-305X,00275,
626,Developmental Review,0273-2297,12026,
627,Developments in the Built Environment,2666-1659,30245,
628,Diabetes & Metabolic Syndrome: Clinical Research and Reviews,1871-4021,04250,
629,Diabetes & Metabolism,1262-3636,15535,
630,Diabetes Research and Clinical Practice,0168-8227,08012,
631,Diagnostic Histopathology,1756-2317,12714,Formerly known as Current Diagnostic Pathology
632,Diagnostic and Interventional Imaging,2211-5684,15892,
633,Diagnostic Microbiology and Infectious Disease,0732-8893,07639,
634,Diamond and Related Materials,0925-9635,06006,
635,Differential Geometry and its Applications,0926-2245,05266,
636,Differentiation,0301-4681,08664,
637,Digestive and Liver Disease,1590-8658,12918,
638,Digestive and Liver Disease Supplements,1594-5804,12604,
639,Digital Applications in Archaeology and Cultural Heritage,2212-0548,08821,
640,Digital Chinese Medicine,2589-3777,18431,
641,Digital Communications and Networks,2352-8648,18142,
642,Digital Investigation,1742-2876,04064,
643,Digital Signal Processing,1051-2004,12027,
644,Disability and Health Journal,1936-6574,13428,
645,"Discourse, Context & Media",2211-6958,12970,
646,Discrete Applied Mathematics,0166-218X,05267,
647,Discrete Mathematics,0012-365X,05268,
648,Discrete Optimization,1572-5286,05497,
649,Disease-a-Month,0011-5029,13237,
650,Displays,0141-9382,05270,
651,DNA Repair,1568-7864,05466,Formerly known as Mutation Research/DNA Repair
652,Domestic Animal Endocrinology,0739-7240,07637,
653,Douleurs : Évaluation – Diagnostic – Traitement,1624-5687,15538,
654,"Droit, Déontologie & Soin",1629-6583,15838,
655,Drug and Alcohol Dependence,0376-8716,08013,
656,Drug Discovery Today,1359-6446,02168,"Incorporating Drug Discovery Today: TARGETS, Drug Discovery Today: BIOSILICO and Pharmaceutical Science & Technology Today"
657,Drug Discovery Today: Disease Models,1740-6757,02293,
658,Drug Discovery Today: Technologies,1740-6749,02294,
659,Drug Metabolism and Pharmacokinetics,1347-4367,18127,
660,Drug Resistance Updates,1368-7646,12758,
661,Dyes and Pigments,0143-7208,02020,
662,Dynamics of Atmospheres and Oceans,0377-0265,05327,
663,Early Childhood Research Quarterly,0885-2006,07453,
664,Early Human Development,0378-3782,08014,Incorporating Screening
665,Earth and Planetary Science Letters,0012-821X,05328,
666,Earth-Science Reviews,0012-8252,05329,
667,Earth System Governance,2589-8116,18442,
668,Eating Behaviors,1471-0153,02270,
669,EBioMedicine,2352-3964,18079,
670,EClinicalMedicine,2589-5370,18435,
671,Ecohydrology & Hydrobiology,1642-3593,11010,
672,Ecological Complexity,1476-945X,05494,
673,Ecological Economics,0921-8009,05100,
674,Ecological Engineering,0925-8574,05101,
675,Ecological Engineering: X,2590-2903,18479,
676,Ecological Genetics and Genomics,2405-9854,18842,
677,Ecological Indicators,1470-160X,02273,
678,Ecological Informatics,1574-9541,05508,
679,Ecological Modelling,0304-3800,05102,
680,Econometrics and Statistics,2452-3062,18306,
681,EconomiA,1517-7580,18044,
682,Economic Analysis and Policy,0313-5926,17037,
683,Economic Modelling,0264-9993,03023,
684,Economic Systems,0939-3625,05568,
685,Economics of Education Review,0272-7757,00743,
686,Economics & Human Biology,1570-677X,05475,
687,Economics Letters,0165-1765,06007,
688,Economics of Transportation,2212-0122,12990,
689,Ecosystem Services,2212-0416,08796,
690,Ecotoxicology and Environmental Safety,0147-6513,12030,
691,Educación Médica,1575-1813,16373,
692,Education for Chemical Engineers,1749-7728,08630,
693,Educational Research Review,1747-938X,04233,
694,Egyptian Informatics Journal,1110-8665,08716,
695,The Egyptian Journal of Aquatic Research,1687-4285,10142,
696,Egyptian Journal of Petroleum,1110-0621,08781,
697,The Egyptian Journal of Remote Sensing and Space Science,1110-9823,08717,
698,The Egyptian Rheumatologist,1110-1164,08733,
699,EJVES Short Reports,2405-6553,12999,Formerly known as EJVES Extra
700,Electoral Studies,0261-3794,03024,
701,Electric Power Systems Research,0378-7796,06008,
702,The Electricity Journal,1040-6190,07632,
703,Electrochemistry Communications,1388-2481,06053,
704,Electrochimica Acta,0013-4686,00205,
705,Electronic Commerce Research and Applications,1567-4223,05571,
706,Electronic Journal of Biotechnology,0717-3458,17072,
707,Electronic Notes in Discrete Mathematics,1571-0653,05485,
708,Electronic Notes in Theoretical Computer Science,1571-0661,05486,
709,EMC - AKOS - Trattato di Medicina,1634-7358,09202,
710,EMC - Anestesia-Reanimación,1280-4703,09205,
711,EMC - Anestesia-Rianimazione,1283-0771,09204,
712,EMC - Aparato Locomotor,1286-935X,09270,
713,EMC - Cirugía General,1634-7080,09266,
714,EMC - Cirugía Otorrinolaringológica y Cervicofacial,1635-2505,09271,
715,EMC - Cirugía Plástica Reparadora y Estética,1634-2143,09260,
716,EMC - Cosmetologia Medica e Medicina degli Inestetismi Cutanei,1776-0313,09350,
717,EMC - Dermatología,1761-2896,09210,
718,EMC - Ginecología-Obstetricia,1283-081X,09218,
719,EMC - Kinesiterapia - Medicina Fisica,1293-2965,09221,
720,EMC - Medicina Riabilitativa,1283-078X,09222,
721,EMC - Neurologia,1634-7072,09226,
722,EMC - Otorinolaringoiatria,1639-870X,09235,
723,EMC - Otorrinolaringología,1632-3475,09234,
724,EMC - Pediatría,1245-1789,09237,
725,EMC - Podología,1762-827X,09240,
726,EMC - Técnicas Quirúrgicas - Aparato Digestivo,1282-9129,09259,
727,EMC - Técnicas Quirúrgicas - Ortopedia y Traumatología,2211-033X,16194,
728,EMC - Tecniche Chirurgiche Addominale,1283-0798,09200,
729,EMC - Tecniche Chirurgiche - Chirurgia Generale,1636-5577,09267,
730,EMC - Tecniche Chirurgiche - Chirurgia ORL e Cervico-Facciale,1292-3036,09272,
731,EMC - Tecniche Chirurgiche - Chirurgia Ortopedica,2211-0801,16193,
732,"EMC - Tecniche Chirurgiche - Chirurgia Plastica, Ricostruttiva ed Estetica",1769-6704,09341,
733,EMC - Tecniche Chirurgiche Torace,1288-3336,09269,
734,EMC - Tecniche Chirurgiche Vascolare,1283-0801,09277,
735,EMC - Tratado de Medicina,1636-5410,09228,
736,EMC - Urgenze,1286-9341,09275,
737,EMC - Urología,1761-3310,09273,
738,Emergency Medicine Clinics of North America,0733-8627,13211,
739,Emerging Contaminants,2405-6650,18170,
740,Emerging Markets Review,1566-0141,05556,
741,"Emotion, Space and Society",1755-4586,04294,
742,L’Encéphale,0013-7006,15539,
743,Endeavour,0160-9327,00574,
744,"Endocrinología, Diabetes y Nutrición",2530-0164,15719,Formerly known as Endocrinología y Nutrición
745,"Endocrinología, Diabetes y Nutrición (English ed.)",2530-0180,15790,Formerly known as Endocrinología y Nutrición (English Edition)
746,Endocrinology and Metabolism Clinics of North America,0889-8529,13212,
747,Energy,0360-5442,00483,"Incorporating Exergy, An International Journal"
748,Energy and Buildings,0378-7788,06009,
749,Energy and Built Environment,2666-1233,30190,
750,Energy Conversion and Management,0196-8904,00269,Formerly known as Energy Conversion
751,Energy Conversion and Management: X,2590-1745,18472,
752,Energy Economics,0140-9883,03025,Incorporating Journal of Energy Finance & Development
753,Energy Policy,0301-4215,03026,
754,Energy Reports,2352-4847,18082,
755,Energy Research & Social Science,2214-6296,12630,
756,Energy Storage Materials,2405-8297,18197,
757,Energy Strategy Reviews,2211-467X,12967,
758,Energy for Sustainable Development,0973-0826,07817,
759,EnergyChem,2589-7780,18443,
760,eNeurologicalSci,2405-6502,13000,
761,Enfermedades Infecciosas y Microbiología Clínica,0213-005X,15722,
762,Enfermedades infecciosas y microbiologia clinica (English ed.),2529-993X,16448,
763,Enfermería Clínica,1130-8621,15709,
764,Enfermería Clínica (English Edition),2445-1479,16435,
765,Enfermería Intensiva,1130-2399,15714,
766,Enfermería Intensiva (English ed.),2529-9840,16441,
767,Engineering,2095-8099,18313,
768,Engineering Analysis with Boundary Elements,0955-7997,02021,Formerly known as Engineering Analysis
769,Engineering Applications of Artificial Intelligence,0952-1976,00975,
770,Engineering Failure Analysis,1350-6307,00139,
771,Engineering Fracture Mechanics,0013-7944,00322,
772,Engineering Geology,0013-7952,05330,Incorporating Mining Science and Technology
773,"Engineering Science and Technology, an International Journal",2215-0986,18052,
774,Engineering Structures,0141-0296,03027,
775,English for Specific Purposes,0889-4906,00682,Formerly known as The ESP Journal
776,Entertainment Computing,1875-9521,08654,
777,Environment International,0160-4120,00326,
778,Environmental Chemistry and Ecotoxicology,2590-1826,30089,
779,Environmental Development,2211-4645,08774,
780,Environmental and Experimental Botany,0098-8472,00267,Formerly known as Radiation Botany
781,Environmental Impact Assessment Review,0195-9255,07643,
782,Environmental Innovation and Societal Transitions,2210-4224,08720,
783,Environmental Modelling & Software,1364-8152,02023,Formerly known as Environmental Software
784,"Environmental Nanotechnology, Monitoring & Management",2215-1532,17047,
785,Environmental Pollution,0269-7491,02022,"Incorporating Environmental Pollution Series A, Ecological and Biological and Environmental Pollution Series B, Chemical and Physical"
786,Environmental Research,0013-9351,12035,
787,Environmental Science and Ecotechnology,2666-4984,30339,
788,Environmental Science & Policy,1462-9011,01031,
789,Environmental and Sustainability Indicators,2665-9727,30149,
790,Environmental Technology & Innovation,2352-1864,18059,
791,Environmental Toxicology and Pharmacology,1382-6689,05432,Formerly known as European Journal of Pharmacology: Environmental Toxicology and Pharmacology
792,Enzyme and Microbial Technology,0141-0229,07644,
793,Epidemics,1755-4365,08640,
794,Epilepsy & Behavior,1525-5050,12876,
795,Epilepsy & Behavior Reports ,2589-9864,14105,Formerly known as Epilepsy & Behavior Case Reports
796,Epilepsy Research,0920-1211,05029,Incorporating Journal of Epilepsy
797,"Estuarine, Coastal and Shelf Science",0272-7714,12641,Formerly known as Estuarine and Coastal Marine Science
798,"Ethics, Medicine and Public Health",2352-5525,16354,
799,Éthique & Santé,1765-4629,15541,
800,eTransportation,2590-1168,30078,
801,EuPA Open Proteomics,2212-9685,10158,
802,"European Annals of Otorhinolaryngology, Head and Neck Diseases",1879-7296,15869,
803,European Economic Review,0014-2921,05368,
804,European Journal of Agronomy,1161-0301,05444,
805,European Journal of Cancer,0959-8049,00104,Formerly known as European Journal of Cancer and Clinical Oncology
806,European Journal of Cancer Supplements,1359-6349,00110,
807,European Journal of Cell Biology,0171-9335,10005,
808,European Journal of Combinatorics,0195-6698,12636,
809,European Journal of Control,0947-3580,17015,
810,European Journal of Integrative Medicine,1876-3820,10062,
811,European Journal of Internal Medicine,0953-6205,05551,
812,European Journal of Mechanics - A/Solids,0997-7538,09030,
813,European Journal of Mechanics - B/Fluids,0997-7546,09031,
814,European Journal of Medical Genetics,1769-7212,09081,Formerly known as Annales de Génétique
815,European Journal of Medicinal Chemistry,0223-5234,09032,
816,European Journal of Obstetrics & Gynecology and Reproductive Biology,0301-2115,08018,Formerly known as European Journal of Obstetrics & Gynecology
817,European Journal of Obstetrics & Gynecology and Reproductive Biology: X,2590-1613,18475,
818,European Journal of Oncology Nursing,1462-3889,12746,Formerly known as Journal of Cancer Nursing
819,European Journal of Operational Research,0377-2217,05369,
820,European Journal of Paediatric Neurology,1090-3798,12707,
821,European Journal of Pharmaceutical Sciences,0928-0987,05030,Incorporating Pharmaceutica Acta Helvetiae
822,European Journal of Pharmaceutics and Biopharmaceutics,0939-6411,05446,
823,European Journal of Pharmacology,0014-2999,05031,Incorporating European Journal of Pharmacology: Molecular Pharmacology
824,European Journal of Political Economy,0176-2680,05370,
825,European Journal of Protistology,0932-4739,10028,
826,The European Journal of Psychiatry,0213-6163,16440,
827,European Journal of Radiology,0720-048X,08019,
828,European Journal of Radiology Open,2352-0477,17737,
829,European Journal of Soil Biology,1164-5563,09033,
830,European Journal of Surgical Oncology,0748-7983,12656,
831,European Journal of Trauma & Dissociation,2468-7499,16442,
832,European Journal of Vascular and Endovascular Surgery,1078-5884,12672,Formerly known as European Journal of Vascular Surgery
833,European Management Journal,0263-2373,00115,
834,European Neuropsychopharmacology,0924-977X,05033,
835,European Polymer Journal,0014-3057,00294,
836,European Research on Management and Business Economics,2444-8834,15976,Formerly  known as Investigaciones Europeas de Dirección y Economía de la Empresa
837,European Urology,0302-2838,05436,
838,European Urology Focus,2405-4569,18216,
839,European Urology Oncology,2588-9311,18434,
840,European Urology Supplements,1569-9056,05469,Incorporating EAU-EBU Update Series
841,Evaluation and Program Planning,0149-7189,00593,
842,Evolution and Human Behavior,1090-5138,07645,Formerly known as Ethology and Sociobiology
843,L'Évolution Psychiatrique,0014-3855,09035,
844,Experimental Cell Research,0014-4827,12028,
845,Experimental Eye Research,0014-4835,12605,
846,Experimental Gerontology,0531-5565,07530,
847,Experimental Hematology,0301-472X,07655,
848,Experimental and Molecular Pathology,0014-4800,12031,
849,Experimental Neurology,0014-4886,12032,Incorporating Neurodegeneration
850,Experimental Parasitology,0014-4894,12034,
851,Experimental Thermal and Fluid Science,0894-1777,07646,
852,Expert Systems with Applications,0957-4174,00939,
853,Expert Systems with Applications: X,2590-1885,18477,
854,Explorations in Economic History,0014-4983,12029,
855,EXPLORE,1550-8307,13364,
856,Expositiones Mathematicae,0723-0869,10031,
857,The Extractive Industries and Society,2214-790X,17043,
858,Extreme Mechanics Letters,2352-4316,18071,
859,Facial Plastic Surgery Clinics of North America,1064-7406,13060,
860,Fertility and Sterility,0015-0282,07647,
861,Field Crops Research,0378-4290,05104,
862,Field Mycology,1468-1641,04236,
863,Filtration Industry Analyst,1365-6937,02207,
864,Filtration + Separation,0015-1882,02127,
865,Finance Research Letters,1544-6123,13350,
866,Finite Elements in Analysis and Design,0168-874X,05272,
867,Finite Fields and Their Applications,1071-5797,12037,
868,Fire Safety Journal,0379-7112,02024,
869,Fish & Shellfish Immunology,1050-4648,12683,
870,Fisheries Research,0165-7836,05105,
871,Fisioterapia,0211-5638,15713,
872,Fitoterapia,0367-326X,05549,
873,FlatChem,2452-2627,18317,
874,Flora,0367-2530,10032,"Formerly known as Flora oder Allgemeine botanische Zeitung. Abt. B, Morphologie und Geobotanik;"
875,Flow Measurement and Instrumentation,0955-5986,03029,
876,Fluid Phase Equilibria,0378-3812,05153,
877,FMC - Formación Médica Continuada en Atención Primaria,1134-2072,15723,
878,Focus on Catalysts,1351-4180,04013,
879,Focus on Pigments,0969-6210,04011,
880,Focus on Powder Coatings,1364-5439,04015,
881,Focus on Surfactants,1351-4210,04009,
882,Food and Bioproducts Processing,0960-3085,08633,
883,Food Bioscience,2212-4292,12988,
884,Food and Chemical Toxicology,0278-6915,00237,Formerly known as Food and Cosmetics Toxicology
885,Food Chemistry,0308-8146,02025,
886,Food Chemistry: X,2590-1575,18468,
887,Food Control,0956-7135,03030,
888,Food Hydrocolloids,0268-005X,01029,
889,Food Microbiology,0740-0020,12652,
890,Food Packaging and Shelf Life,2214-2894,18031,
891,Food Policy,0306-9192,03031,
892,Food Quality and Preference,0950-3293,02026,
893,Food Research International,0963-9969,02027,Formerly known as Canadian Institute of Food Science and Technology Journal
894,Food Science and Human Wellness,2213-4530,10151,
895,Food Structure,2213-3291,12994,
896,Food and Waterborne Parasitology,2405-6766,18843,
897,Food Webs,2352-2496,18749,
898,The Foot,0958-2592,12743,
899,Foot and Ankle Clinics,1083-7515,13059,
900,Foot and Ankle Surgery,1268-7731,04056,
901,Forensic Chemistry,2468-1709,18340,
902,Forensic Imaging,2666-2256,12774,Formerly known as Journal of Forensic Radiology and Imaging
903,Forensic Science International,0379-0738,08021,Formerly known as Forensic Science
904,Forensic Science International: Genetics,1872-4973,04100,
905,Forensic Science International: Genetics Supplement Series,1875-1768,08156,
906,Forensic Science International: Mind and Law,2666-3538,30297,
907,Forensic Science International: Reports,2665-9107,30130,
908,Forensic Science International: Synergy,2589-871X,18441,
909,Forest Ecology and Management,0378-1127,05106,
910,Forest Policy and Economics,1389-9341,05553,
911,Free Radical Biology and Medicine,0891-5849,07531,Incorporating Advances in Free Radical Biology & Medicine and Journal of Free Radicals in Biology & Medicine
912,Frontiers of Architectural Research,2095-2635,18005,
913,Frontiers in Laboratory Medicine,2542-3649,18381,
914,Frontiers in Neuroendocrinology,0091-3022,12039,
915,Fuel,0016-2361,03032,
916,Fuel Cells Bulletin,1464-2859,02233,
917,Fuel and Energy Abstracts,0140-6701,03033,
918,Fuel Processing Technology,0378-3820,05154,
919,Fungal Biology,1878-6146,04234,Formerly known as Mycological Research
920,Fungal Biology Reviews,1749-4613,04235,Formerly known as Mycologist
921,Fungal Ecology,1754-5048,04293,
922,Fungal Genetics and Biology,1087-1845,12038,Formerly known as Experimental Mycology
923,Fusion Engineering and Design,0920-3796,06010,Formerly known as Nuclear Engineering and Design. Fusion
924,Fuss & Sprunggelenk,1619-9987,10060,
925,Future Generation Computer Systems,0167-739X,05273,
926,Futures,0016-3287,03034,
927,Fuzzy Sets and Systems,0165-0114,05371,
928,Gaceta Sanitaria,0213-9111,15747,
929,Gait & Posture,0966-6362,05107,
930,Games and Economic Behavior,0899-8256,12040,
931,Gastroenterología y Hepatología,0210-5705,15738,
932,Gastroenterología y Hepatología (English Edition),2444-3824,16411,
933,Gastroenterology,0016-5085,13216,
934,Gastroenterology Clinics of North America,0889-8553,13214,
935,Gastrointestinal Endoscopy,0016-5107,13078,
936,Gastrointestinal Endoscopy Clinics of North America,1052-5157,13217,
937,Gene,0378-1119,05041,
938,Gene Expression Patterns,1567-133X,05567,
939,Gene Reports,2452-0144,18860,
940,Gene: X,2590-1583,18455,
941,General and Comparative Endocrinology,0016-6480,12033,
942,General Hospital Psychiatry,0163-8343,07654,
943,Genes & Diseases,2352-3042,18068,
944,Genomics,0888-7543,12043,
945,"Genomics, Proteomics & Bioinformatics",1672-0229,05602,
946,Geobios,0016-6995,09110,
947,Geochemistry,0009-2819,10001,
948,Geochimica et Cosmochimica Acta,0016-7037,00212,
949,Geoderma,0016-7061,05333,
950,Geoderma Regional,2352-0094,17730,
951,Geodesy and Geodynamics,1674-9847,18158,
952,Geoforum,0016-7185,00344,
953,Geomechanics for Energy and the Environment,2352-3808,18069,
954,Geomorphology,0169-555X,05334,
955,Geoscience Frontiers,1674-9871,08721,
956,Geotextiles and Geomembranes,0266-1144,02028,
957,Geothermics,0375-6505,00389,
958,Geriatric Nursing,0197-4572,13166,
959,Global Ecology and Conservation,2351-9894,17076,
960,Global Energy Interconnection,2096-5117,30018,
961,Global Environmental Change,0959-3780,01043,
962,Global Epidemiology,2590-1133,30067,
963,Global Finance Journal,1044-0283,07407,
964,Global Food Security,2211-9124,08790,
965,Global Health Journal,2414-6447,30111,
966,Global and Planetary Change,0921-8181,05335,
967,Global Transitions,2589-7918,18445,
968,Gondwana Research,1342-937X,06066,
969,Government Information Quarterly,0740-624X,07408,Incorporating Journal of Government Information
970,Grain & Oil Science and Technology,2590-2598,30116,
971,Graphical Models,1524-0703,12044,Formerly known as Graphical Models and Image Processing
972,Green Energy & Environment,2468-0257,18336,
973,Groundwater for Sustainable Development,2352-801X,18121,
974,Growth Hormone & IGF Research,1096-6374,12770,
975,Gynecologic Oncology,0090-8258,12045,
